pclass,survived,Residence,name,age,sibsp,parch,ticket,fare,cabin,embarked,boat,body,home.dest,Gender,Rfare,RFR001,Fare_BC
3,0,0,"Abbing, Mr. Anthony",42,0,0,C.A. 5547,7.55, ,S, , , ,0,127.5,.0974770642201835,-33.7869449049441
3,0,0,"Abbott, Master. Eugene Joseph",13,0,2,C.A. 2673,20.25, ,S, , ,"East Providence, RI",0,757,.578746177370031,43.5792714603521
3,0,0,"Abbott, Mr. Rossmore Edward",16,1,1,C.A. 2673,20.25, ,S, ,190,"East Providence, RI",0,757,.578746177370031,43.5792714603521
3,1,0,"Abbott, Mrs. Stanton (Rosa Hunt)",35,1,1,C.A. 2673,20.25, ,S,A, ,"East Providence, RI",1,757,.578746177370031,43.5792714603521
3,1,2,"Abelseth, Miss. Karen Marie",16,0,0,348125,7.65, ,S,16, ,"Norway Los Angeles, CA",1,138.5,.105886850152905,-31.3357097440717
3,1,0,"Abelseth, Mr. Olaus Jorgensen",25,0,0,348122,7.65,F G63,S,A, ,"Perkins County, SD",0,138.5,.105886850152905,-31.3357097440717
2,0,2,"Abelson, Mr. Samuel",30,1,0,P/PP 3381,24, ,C, , ,"Russia New York, NY",0,811.5,.620412844036697,49.1629092887518
2,1,2,"Abelson, Mrs. Samuel (Hannah Wizosky)",28,1,0,P/PP 3381,24, ,C,10, ,"Russia New York, NY",1,811.5,.620412844036697,49.1629092887518
3,1,2,"Abrahamsson, Mr. Abraham August Johannes",20,0,0,SOTON/O2 3101284,7.925, ,S,15, ,"Taalintehdas, Finland Hoboken, NJ",0,349,.266819571865443,1.07777510586357
3,1,2,"Abrahim, Mrs. Joseph (Sophie Halaut Easu)",18,0,0,2657,7.2292, ,C,C, ,"Greensburg, PA",1,87.5,.0668960244648318,-44.3070271347184
3,0,2,"Adahl, Mr. Mauritz Nils Martin",30,0,0,C 7076,7.25, ,S, ,72,"Asarum, Sweden Brooklyn, NY",0,108.5,.0829510703363914,-38.4157124358353
3,0,1,"Adams, Mr. John",26,0,0,341826,8.05, ,S, ,103,"Bournemouth, England",0,391.5,.299311926605505,6.05074478589431
